Input	Match type	Approved symbol	Approved name	HGNC ID	Location
CREM	Approved symbol	CREM	cAMP responsive element modulator	HGNC:2352	10p12.1-p11.1
CRX	Approved symbol	CRX	cone-rod homeobox	HGNC:2383	19q13.3
CTCF	Approved symbol	CTCF	CCCTC-binding factor (zinc finger protein)	HGNC:13723	16q21-q22.3
CUX1	Approved symbol	CUX1	cut-like homeobox 1	HGNC:2557	7q22.1
DBP	Approved symbol	DBP	D site of albumin promoter (albumin D-box) binding protein	HGNC:2697	19q13.33
DDIT3	Approved symbol	DDIT3	DNA-damage-inducible transcript 3	HGNC:2726	12q13.1-q13.2
DEAF1	Approved symbol	DEAF1	DEAF1 transcription factor	HGNC:14677	11p15.5
DLX1	Approved symbol	DLX1	distal-less homeobox 1	HGNC:2914	2q31.1
DLX2	Approved symbol	DLX2	distal-less homeobox 2	HGNC:2915	2q31.1
DLX3	Approved symbol	DLX3	distal-less homeobox 3	HGNC:2916	17q21.33
DLX4	Approved symbol	DLX4	distal-less homeobox 4	HGNC:2917	17q21.33
DLX5	Approved symbol	DLX5	distal-less homeobox 5	HGNC:2918	7q21.3
DMBX1	Approved symbol	DMBX1	diencephalon/mesencephalon homeobox 1	HGNC:19026	1p34.1
DMRT1	Approved symbol	DMRT1	doublesex and mab-3 related transcription factor 1	HGNC:2934	9p24.3
DMRT2	Approved symbol	DMRT2	doublesex and mab-3 related transcription factor 2	HGNC:2935	9p24.3
DMRT3	Approved symbol	DMRT3	doublesex and mab-3 related transcription factor 3	HGNC:13909	9p24.3
E2F1	Approved symbol	E2F1	E2F transcription factor 1	HGNC:3113	20q11
E2F4	Approved symbol	E2F4	E2F transcription factor 4, p107/p130-binding	HGNC:3118	16q21-q22
E2F5	Approved symbol	E2F5	E2F transcription factor 5, p130-binding	HGNC:3119	8q21.2
E2F6	Approved symbol	E2F6	E2F transcription factor 6	HGNC:3120	2p25.1
E2F7	Approved symbol	E2F7	E2F transcription factor 7	HGNC:23820	12q21.1
E4F1	Approved symbol	E4F1	E4F transcription factor 1	HGNC:3121	16p13.3
EBF1	Approved symbol	EBF1	early B-cell factor 1	HGNC:3126	5q34
EBF2	Approved symbol	EBF2	early B-cell factor 2	HGNC:19090	8p21.1
EGR1	Approved symbol	EGR1	early growth response 1	HGNC:3238	5q23-q31
EGR2	Approved symbol	EGR2	early growth response 2	HGNC:3239	10q21.1
EGR3	Approved symbol	EGR3	early growth response 3	HGNC:3240	8p23-p21
EGR4	Approved symbol	EGR4	early growth response 4	HGNC:3241	2p13
EHF	Approved symbol	EHF	ets homologous factor	HGNC:3246	11p12
ELF1	Approved symbol	ELF1	E74-like factor 1 (ets domain transcription factor)	HGNC:3316	13q13
ELF2	Approved symbol	ELF2	E74-like factor 2 (ets domain transcription factor)	HGNC:3317	4q28
ELF3	Approved symbol	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	HGNC:3318	1q32.2
ELF4	Approved symbol	ELF4	E74-like factor 4 (ets domain transcription factor)	HGNC:3319	Xq26
ELF5	Approved symbol	ELF5	E74-like factor 5 (ets domain transcription factor)	HGNC:3320	11p13-p12
ELK1	Approved symbol	ELK1	ELK1, member of ETS oncogene family	HGNC:3321	Xp11.23
ELK4	Approved symbol	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	HGNC:3326	1q32
EMX2	Approved symbol	EMX2	empty spiracles homeobox 2	HGNC:3341	10q26.11
EN1	Approved symbol	EN1	engrailed homeobox 1	HGNC:3342	2q14.2
EN2	Approved symbol	EN2	engrailed homeobox 2	HGNC:3343	7q36.2
EOMES	Approved symbol	EOMES	eomesodermin	HGNC:3372	3p24.1
EP300	Approved symbol	EP300	E1A binding protein p300	HGNC:3373	22q13.2
EPAS1	Approved symbol	EPAS1	endothelial PAS domain protein 1	HGNC:3374	2p21-p16
ERF	Approved symbol	ERF	Ets2 repressor factor	HGNC:3444	19q13
ERG	Approved symbol	ERG	v-ets avian erythroblastosis virus E26 oncogene homolog	HGNC:3446	21q22.3
ESR1	Approved symbol	ESR1	estrogen receptor 1	HGNC:3467	6q24-q27
ESR2	Approved symbol	ESR2	estrogen receptor 2 (ER beta)	HGNC:3468	14q21-q22
ESRRA	Approved symbol	ESRRA	estrogen-related receptor alpha	HGNC:3471	11q12
ESRRB	Approved symbol	ESRRB	estrogen-related receptor beta	HGNC:3473	14q24.3
ESX1	Approved symbol	ESX1	ESX homeobox 1	HGNC:14865	Xq22.2
ETS1	Approved symbol	ETS1	v-ets avian erythroblastosis virus E26 oncogene homolog 1	HGNC:3488	11q23.3
ETS2	Approved symbol	ETS2	v-ets avian erythroblastosis virus E26 oncogene homolog 2	HGNC:3489	21q22.3
ETV4	Approved symbol	ETV4	ets variant 4	HGNC:3493	17q21
ETV7	Approved symbol	ETV7	ets variant 7	HGNC:18160	6p21
EVX1	Approved symbol	EVX1	even-skipped homeobox 1	HGNC:3506	7p15.2
FGF9	Approved symbol	FGF9	fibroblast growth factor 9	HGNC:3687	13q11-q12
FLI1	Approved symbol	FLI1	Fli-1 proto-oncogene, ETS transcription factor	HGNC:3749	11q24.1-q24.3
FOSL1	Approved symbol	FOSL1	FOS-like antigen 1	HGNC:13718	11q13
FOXA1	Approved symbol	FOXA1	forkhead box A1	HGNC:5021	14q12-q13
FOXA2	Approved symbol	FOXA2	forkhead box A2	HGNC:5022	20p11
FOXA3	Approved symbol	FOXA3	forkhead box A3	HGNC:5023	19q13.2-q13.4
FOXC1	Approved symbol	FOXC1	forkhead box C1	HGNC:3800	6p25
FOXD1	Approved symbol	FOXD1	forkhead box D1	HGNC:3802	5q12-q13
FOXD3	Approved symbol	FOXD3	forkhead box D3	HGNC:3804	1p31.3
FOXF1	Approved symbol	FOXF1	forkhead box F1	HGNC:3809	16q24
FOXF2	Approved symbol	FOXF2	forkhead box F2	HGNC:3810	6p25.3
FOXG1	Approved symbol	FOXG1	forkhead box G1	HGNC:3811	14q11-q13
FOXH1	Approved symbol	FOXH1	forkhead box H1	HGNC:3814	8q24
FOXI1	Approved symbol	FOXI1	forkhead box I1	HGNC:3815	5q34
FOXJ1	Approved symbol	FOXJ1	forkhead box J1	HGNC:3816	17q25.1
FOXJ2	Approved symbol	FOXJ2	forkhead box J2	HGNC:24818	12p13.31
FOXJ3	Approved symbol	FOXJ3	forkhead box J3	HGNC:29178	1p34.2
FOXL1	Approved symbol	FOXL1	forkhead box L1	HGNC:3817	16q24
FOXM1	Approved symbol	FOXM1	forkhead box M1	HGNC:3818	12p13
FOXN1	Approved symbol	FOXN1	forkhead box N1	HGNC:12765	17q11-q12
FOXN2	Approved symbol	FOXN2	forkhead box N2	HGNC:5281	2p22-p16
FOXO1	Approved symbol	FOXO1	forkhead box O1	HGNC:3819	13q14.1
FOXO3	Approved symbol	FOXO3	forkhead box O3	HGNC:3821	6q21
FOXO4	Approved symbol	FOXO4	forkhead box O4	HGNC:7139	Xq13.1
FOXP1	Approved symbol	FOXP1	forkhead box P1	HGNC:3823	3p14.1
FOXP3	Approved symbol	FOXP3	forkhead box P3	HGNC:6106	Xp11.23
GABPA	Approved symbol	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	HGNC:4071	21q21-q22.1
GABPB1	Approved symbol	GABPB1	GA binding protein transcription factor, beta subunit 1	HGNC:4074	15q21.2
GATA1	Approved symbol	GATA1	GATA binding protein 1 (globin transcription factor 1)	HGNC:4170	Xp11.23
GATA2	Approved symbol	GATA2	GATA binding protein 2	HGNC:4171	3q21
GATA3	Approved symbol	GATA3	GATA binding protein 3	HGNC:4172	10p15
GATA4	Approved symbol	GATA4	GATA binding protein 4	HGNC:4173	8p23.1-p22
GATA5	Approved symbol	GATA5	GATA binding protein 5	HGNC:15802	20q13.33
GATA6	Approved symbol	GATA6	GATA binding protein 6	HGNC:4174	18q11-q12
GBX2	Approved symbol	GBX2	gastrulation brain homeobox 2	HGNC:4186	2q37.2
GCM1	Approved symbol	GCM1	glial cells missing homolog 1 (Drosophila)	HGNC:4197	6p21-p12
GFI1	Approved symbol	GFI1	growth factor independent 1 transcription repressor	HGNC:4237	1p22
GFI1B	Approved symbol	GFI1B	growth factor independent 1B transcription repressor	HGNC:4238	9q34.13
GLI1	Approved symbol	GLI1	GLI family zinc finger 1	HGNC:4317	12q13.2-q13.3
GLI2	Approved symbol	GLI2	GLI family zinc finger 2	HGNC:4318	2q14
GLI3	Approved symbol	GLI3	GLI family zinc finger 3	HGNC:4319	7p13
GLIS1	Approved symbol	GLIS1	GLIS family zinc finger 1	HGNC:29525	1p32.3
GLIS3	Approved symbol	GLIS3	GLIS family zinc finger 3	HGNC:28510	9p24.2
GSX2	Approved symbol	GSX2	GS homeobox 2	HGNC:24959	4q12
GTF2A1	Approved symbol	GTF2A1	general transcription factor IIA, 1, 19/37kDa	HGNC:4646	14q31
GTF2I	Approved symbol	GTF2I	general transcription factor IIi	HGNC:4659	7q11.23
GTF2IRD1	Approved symbol	GTF2IRD1	GTF2I repeat domain containing 1	HGNC:4661	7q11.23
GZF1	Approved symbol	GZF1	GDNF-inducible zinc finger protein 1	HGNC:15808	20p11.21
HAND1	Approved symbol	HAND1	heart and neural crest derivatives expressed 1	HGNC:4807	5q33
HAND2	Approved symbol	HAND2	heart and neural crest derivatives expressed 2	HGNC:4808	4q33
HBP1	Approved symbol	HBP1	HMG-box transcription factor 1	HGNC:23200	7q22-q31
HES1	Approved symbol	HES1	hes family bHLH transcription factor 1	HGNC:5192	3q28-q29
HIC1	Approved symbol	HIC1	hypermethylated in cancer 1	HGNC:4909	17p13.3
HIF1A	Approved symbol	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HGNC:4910	14q23.2
HINFP	Approved symbol	HINFP	histone H4 transcription factor	HGNC:17850	11q23.3
HIVEP2	Approved symbol	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	HGNC:4921	6q23-q24
HLF	Approved symbol	HLF	hepatic leukemia factor	HGNC:4977	17q22
HMBOX1	Approved symbol	HMBOX1	homeobox containing 1	HGNC:26137	8p12
HMGA1	Approved symbol	HMGA1	high mobility group AT-hook 1	HGNC:5010	6p21
HMGA2	Approved symbol	HMGA2	high mobility group AT-hook 2	HGNC:5009	12q15
HMX1	Approved symbol	HMX1	H6 family homeobox 1	HGNC:5017	4p16.1
HMX3	Approved symbol	HMX3	H6 family homeobox 3	HGNC:5019	10q26.13
HNF1A	Approved symbol	HNF1A	HNF1 homeobox A	HGNC:11621	12q24.31
HNF1B	Approved symbol	HNF1B	HNF1 homeobox B	HGNC:11630	17q12
HNF4A	Approved symbol	HNF4A	hepatocyte nuclear factor 4, alpha	HGNC:5024	20q13.12
HNF4G	Approved symbol	HNF4G	hepatocyte nuclear factor 4, gamma	HGNC:5026	8q21-q22
HOMEZ	Approved symbol	HOMEZ	homeobox and leucine zipper encoding	HGNC:20164	14q11.2
HOXA1	Approved symbol	HOXA1	homeobox A1	HGNC:5099	7p15.2
HOXA10	Approved symbol	HOXA10	homeobox A10	HGNC:5100	7p15.2
HOXA11	Approved symbol	HOXA11	homeobox A11	HGNC:5101	7p15.2
HOXA13	Approved symbol	HOXA13	homeobox A13	HGNC:5102	7p15.2
HOXA2	Approved symbol	HOXA2	homeobox A2	HGNC:5103	7p15.2
HOXA3	Approved symbol	HOXA3	homeobox A3	HGNC:5104	7p15.2
HOXA4	Approved symbol	HOXA4	homeobox A4	HGNC:5105	7p15.2
HOXA5	Approved symbol	HOXA5	homeobox A5	HGNC:5106	7p15.2
HOXA6	Approved symbol	HOXA6	homeobox A6	HGNC:5107	7p15.2
HOXA7	Approved symbol	HOXA7	homeobox A7	HGNC:5108	7p15.2
HOXA9	Approved symbol	HOXA9	homeobox A9	HGNC:5109	7p15.2
HOXB13	Approved symbol	HOXB13	homeobox B13	HGNC:5112	17q21.32
HOXB3	Approved symbol	HOXB3	homeobox B3	HGNC:5114	17q21.32
HOXB4	Approved symbol	HOXB4	homeobox B4	HGNC:5115	17q21.32
HOXB5	Approved symbol	HOXB5	homeobox B5	HGNC:5116	17q21.32
HOXB6	Approved symbol	HOXB6	homeobox B6	HGNC:5117	17q21.32
HOXB7	Approved symbol	HOXB7	homeobox B7	HGNC:5118	17q21.32
HOXB8	Approved symbol	HOXB8	homeobox B8	HGNC:5119	17q21.32
HOXB9	Approved symbol	HOXB9	homeobox B9	HGNC:5120	17q21.32
HOXC10	Approved symbol	HOXC10	homeobox C10	HGNC:5122	12q13.13
HOXC11	Approved symbol	HOXC11	homeobox C11	HGNC:5123	12q13.13
HOXC12	Approved symbol	HOXC12	homeobox C12	HGNC:5124	12q13.13
HOXC13	Approved symbol	HOXC13	homeobox C13	HGNC:5125	12q13.13
HOXC4	Approved symbol	HOXC4	homeobox C4	HGNC:5126	12q13.13
HOXC5	Approved symbol	HOXC5	homeobox C5	HGNC:5127	12q13.13
HOXC8	Approved symbol	HOXC8	homeobox C8	HGNC:5129	12q13.13
HOXC9	Approved symbol	HOXC9	homeobox C9	HGNC:5130	12q13.13
HOXD1	Approved symbol	HOXD1	homeobox D1	HGNC:5132	2q31.1
HOXD12	Approved symbol	HOXD12	homeobox D12	HGNC:5135	2q31.1
HOXD13	Approved symbol	HOXD13	homeobox D13	HGNC:5136	2q31.1
HOXD3	Approved symbol	HOXD3	homeobox D3	HGNC:5137	2q31.1
HOXD9	Approved symbol	HOXD9	homeobox D9	HGNC:5140	2q31.1
HSF1	Approved symbol	HSF1	heat shock transcription factor 1	HGNC:5224	8q24.3
HSF2	Approved symbol	HSF2	heat shock transcription factor 2	HGNC:5225	6q22
IKZF1	Approved symbol	IKZF1	IKAROS family zinc finger 1 (Ikaros)	HGNC:13176	7p12.2
IKZF2	Approved symbol	IKZF2	IKAROS family zinc finger 2 (Helios)	HGNC:13177	2q13.1
ING4	Approved symbol	ING4	inhibitor of growth family, member 4	HGNC:19423	12p13.32
IRF1	Approved symbol	IRF1	interferon regulatory factor 1	HGNC:6116	5q23-q31
IRF2	Approved symbol	IRF2	interferon regulatory factor 2	HGNC:6117	4q34.1-q35.1
IRF3	Approved symbol	IRF3	interferon regulatory factor 3	HGNC:6118	19q13.3-q13.4
IRF4	Approved symbol	IRF4	interferon regulatory factor 4	HGNC:6119	6p25-p23
IRF6	Approved symbol	IRF6	interferon regulatory factor 6	HGNC:6121	1q32.2-q32.3
IRF7	Approved symbol	IRF7	interferon regulatory factor 7	HGNC:6122	11p15.5
IRF8	Approved symbol	IRF8	interferon regulatory factor 8	HGNC:5358	16q24.1
IRF9	Approved symbol	IRF9	interferon regulatory factor 9	HGNC:6131	14q11.2
IRX2	Approved symbol	IRX2	iroquois homeobox 2	HGNC:14359	5p15.33
IRX3	Approved symbol	IRX3	iroquois homeobox 3	HGNC:14360	16q12.2
IRX4	Approved symbol	IRX4	iroquois homeobox 4	HGNC:6129	5p15.33
IRX5	Approved symbol	IRX5	iroquois homeobox 5	HGNC:14361	16q12.2
ISL1	Approved symbol	ISL1	ISL LIM homeobox 1	HGNC:6132	5q11.2
ISX	Approved symbol	ISX	intestine-specific homeobox	HGNC:28084	22q12.3
ITGB2	Approved symbol	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	HGNC:6155	21q22.3
JUN	Approved symbol	JUN	jun proto-oncogene	HGNC:6204	1p32-p31
JUNB	Approved symbol	JUNB	jun B proto-oncogene	HGNC:6205	19p13.13
JUND	Approved symbol	JUND	jun D proto-oncogene	HGNC:6206	19p13.2
KLF11	Approved symbol	KLF11	Kruppel-like factor 11	HGNC:11811	2p25
KLF12	Approved symbol	KLF12	Kruppel-like factor 12	HGNC:6346	13q22
KLF15	Approved symbol	KLF15	Kruppel-like factor 15	HGNC:14536	3q21.3
KLF4	Approved symbol	KLF4	Kruppel-like factor 4 (gut)	HGNC:6348	9q31
LEF1	Approved symbol	LEF1	lymphoid enhancer-binding factor 1	HGNC:6551	4q23-q25
LHX2	Approved symbol	LHX2	LIM homeobox 2	HGNC:6594	9q33.3
LHX3	Approved symbol	LHX3	LIM homeobox 3	HGNC:6595	9q34.3
LHX4	Approved symbol	LHX4	LIM homeobox 4	HGNC:21734	1q25.3
LHX5	Approved symbol	LHX5	LIM homeobox 5	HGNC:14216	12q24.13
LHX6	Approved symbol	LHX6	LIM homeobox 6	HGNC:21735	9q33.2
LHX8	Approved symbol	LHX8	LIM homeobox 8	HGNC:28838	1p31.1
LMO2	Approved symbol	LMO2	LIM domain only 2 (rhombotin-like 1)	HGNC:6642	11p13
LMX1A	Approved symbol	LMX1A	LIM homeobox transcription factor 1, alpha	HGNC:6653	1q24.1
LMX1B	Approved symbol	LMX1B	LIM homeobox transcription factor 1, beta	HGNC:6654	9q33.3
LTF	Approved symbol	LTF	lactotransferrin	HGNC:6720	3p21.31
MAF	Approved symbol	MAF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	HGNC:6776	16q22-q23
MAFA	Approved symbol	MAFA	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A	HGNC:23145	8q24.3
MAFB	Approved symbol	MAFB	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B	HGNC:6408	20q11.1-q13.1
MAFF	Approved symbol	MAFF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F	HGNC:6780	22q13.1
MAFG	Approved symbol	MAFG	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G	HGNC:6781	17q25.3
MAX	Approved symbol	MAX	MYC associated factor X	HGNC:6913	14q23
MAZ	Approved symbol	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	HGNC:6914	16p11.2
MECOM	Approved symbol	MECOM	MDS1 and EVI1 complex locus	HGNC:3498	3q26.2
MECP2	Approved symbol	MECP2	methyl CpG binding protein 2 (Rett syndrome)	HGNC:6990	Xq28
MEF2A	Approved symbol	MEF2A	myocyte enhancer factor 2A	HGNC:6993	15q26
MEF2C	Approved symbol	MEF2C	myocyte enhancer factor 2C	HGNC:6996	5q14.3
MEIS1	Approved symbol	MEIS1	Meis homeobox 1	HGNC:7000	2p14
MEIS2	Approved symbol	MEIS2	Meis homeobox 2	HGNC:7001	15q14
MEIS3	Approved symbol	MEIS3	Meis homeobox 3	HGNC:29537	19q13.32
MEOX1	Approved symbol	MEOX1	mesenchyme homeobox 1	HGNC:7013	17q21.31
MITF	Approved symbol	MITF	microphthalmia-associated transcription factor	HGNC:7105	3p14.1-p12.3
MNX1	Approved symbol	MNX1	motor neuron and pancreas homeobox 1	HGNC:4979	7q36
MSX1	Approved symbol	MSX1	msh homeobox 1	HGNC:7391	4p16.2
MSX2	Approved symbol	MSX2	msh homeobox 2	HGNC:7392	5q35.2
MTERF	Approved symbol	MTERF	mitochondrial transcription termination factor	HGNC:21463	7q21-q22
MTF1	Approved symbol	MTF1	metal-regulatory transcription factor 1	HGNC:7428	1p33
MYB	Approved symbol	MYB	v-myb avian myeloblastosis viral oncogene homolog	HGNC:7545	6q22-q23
MYBL2	Approved symbol	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2	HGNC:7548	20q13.1
MYC	Approved symbol	MYC	v-myc avian myelocytomatosis viral oncogene homolog	HGNC:7553	8q24
MYCN	Approved symbol	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	HGNC:7559	2p24.3
MYF5	Approved symbol	MYF5	myogenic factor 5	HGNC:7565	12q21
MYF6	Approved symbol	MYF6	myogenic factor 6 (herculin)	HGNC:7566	12q21
MYOD1	Approved symbol	MYOD1	myogenic differentiation 1	HGNC:7611	11p15
MYOG	Approved symbol	MYOG	myogenin (myogenic factor 4)	HGNC:7612	1q31-q41
MZF1	Approved symbol	MZF1	myeloid zinc finger 1	HGNC:13108	19q13.43
NANOG	Approved symbol	NANOG	Nanog homeobox	HGNC:20857	12p13.31
NEUROD1	Approved symbol	NEUROD1	neuronal differentiation 1	HGNC:7762	2q32
NF1	Approved symbol	NF1	neurofibromin 1	HGNC:7765	17q11.2
NFATC1	Approved symbol	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	HGNC:7775	18q23
NFATC2	Approved symbol	NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	HGNC:7776	20q13.2
NFATC3	Approved symbol	NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	HGNC:7777	16q22
NFATC4	Approved symbol	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	HGNC:7778	14q11.2
NFE2	Approved symbol	NFE2	nuclear factor, erythroid 2	HGNC:7780	12q13
NFE2L1	Approved symbol	NFE2L1	nuclear factor, erythroid 2-like 1	HGNC:7781	17q21.3
NFE2L2	Approved symbol	NFE2L2	nuclear factor, erythroid 2-like 2	HGNC:7782	2q31
NFIB	Approved symbol	NFIB	nuclear factor I/B	HGNC:7785	9p24.1
NFIL3	Approved symbol	NFIL3	nuclear factor, interleukin 3 regulated	HGNC:7787	9q22
NFIX	Approved symbol	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	HGNC:7788	19p13.3
NFKB1	Approved symbol	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	HGNC:7794	4q24
NFKB2	Approved symbol	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	HGNC:7795	10q24
NFYA	Approved symbol	NFYA	nuclear transcription factor Y, alpha	HGNC:7804	6p21.3
NHLH1	Approved symbol	NHLH1	nescient helix loop helix 1	HGNC:7817	1q22
NKX2-1	Approved symbol	NKX2-1	NK2 homeobox 1	HGNC:11825	14q13.3
NKX2-2	Approved symbol	NKX2-2	NK2 homeobox 2	HGNC:7835	20p11.22
NKX2-5	Approved symbol	NKX2-5	NK2 homeobox 5	HGNC:2488	5q34
NKX3-1	Approved symbol	NKX3-1	NK3 homeobox 1	HGNC:7838	8p21.2
NKX3-2	Approved symbol	NKX3-2	NK3 homeobox 2	HGNC:951	4p16.3
NKX6-1	Approved symbol	NKX6-1	NK6 homeobox 1	HGNC:7839	4q21.33
NKX6-2	Approved symbol	NKX6-2	NK6 homeobox 2	HGNC:19321	10q26.3
NR0B1	Approved symbol	NR0B1	nuclear receptor subfamily 0, group B, member 1	HGNC:7960	Xp21.3
NR1H2	Approved symbol	NR1H2	nuclear receptor subfamily 1, group H, member 2	HGNC:7965	19q13.3
NR1H4	Approved symbol	NR1H4	nuclear receptor subfamily 1, group H, member 4	HGNC:7967	12q23.1
NR1I2	Approved symbol	NR1I2	nuclear receptor subfamily 1, group I, member 2	HGNC:7968	3q12-q13.3
NR1I3	Approved symbol	NR1I3	nuclear receptor subfamily 1, group I, member 3	HGNC:7969	1q23.3
NR2C2	Approved symbol	NR2C2	nuclear receptor subfamily 2, group C, member 2	HGNC:7972	3p25
NR2E3	Approved symbol	NR2E3	nuclear receptor subfamily 2, group E, member 3	HGNC:7974	15q23
NR2F1	Approved symbol	NR2F1	nuclear receptor subfamily 2, group F, member 1	HGNC:7975	5q14
NR2F2	Approved symbol	NR2F2	nuclear receptor subfamily 2, group F, member 2	HGNC:7976	15q26
NR2F6	Approved symbol	NR2F6	nuclear receptor subfamily 2, group F, member 6	HGNC:7977	19p13.11
NR3C1	Approved symbol	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	HGNC:7978	5q31-q32
